iter	Passed	Remaining
617	4838	2990
618	4845	2982
619	4853	2974
620	4860	2966
621	4867	2957
622	4874	2949
623	4889	2946
624	4896	2937
625	4902	2929
626	4909	2920
627	4920	2914
628	4926	2905
629	4933	2897
630	4939	2888
631	4948	2881
632	4954	2872
633	4961	2864
634	4968	2856
635	4976	2847
636	4991	2844
637	4998	2835
638	5004	2827
639	5013	2820
640	5020	2811
641	5027	2803
642	5033	2794
643	5042	2787
644	5049	2779
645	5056	2771
646	5064	2763
647	5072	2755
648	5083	2749
649	5091	2741
650	5099	2733
651	5109	2727
652	5116	2718
653	5123	2710
654	5129	2701
655	5140	2695
656	5148	2687
657	5155	2679
658	5161	2670
659	5174	2665
660	5183	2658
661	5189	2649
662	5196	2641
663	5205	2634
664	5212	2625
665	5218	2617
666	5225	2608
667	5234	2601
668	5242	2593
669	5248	2585
670	5255	2576
671	5262	2568
672	5280	2565
673	5288	2557
674	5297	2550
675	5303	2542
676	5310	2533
677	5316	2525
678	5323	2516
679	5333	2510
680	5340	2501
681	5347	2493
682	5355	2485
683	5372	2481
684	5379	2473
685	5385	2465
686	5395	2458
687	5401	2449
688	5408	2441
689	5414	2432
690	5421	2424
691	5430	2416
692	5437	2408
693	5444	2400
694	5451	2392
695	5464	2386
696	5472	2378
697	5478	2370
698	5486	2362
699	5494	2354
700	5501	2346
701	5508	2338
702	5515	2330
703	5525	2323
704	5532	2315
705	5540	2307
706	5547	2299
707	5558	2292
708	5568	2285
709	5574	2276
710	5581	2268
711	5591	2261
712	5598	2253
713	5606	2245
714	5613	2237
715	5622	2230
716	5629	2221
717	5634	2213
718	5642	2205
719	5656	2199
720	5663	2191
721	5669	2183
722	5676	2174
723	5685	2167
724	5692	2159
725	5699	2150
726	5705	2142
727	5716	2135
728	5724	2127
729	5731	2119
730	5738	2111
731	5747	2104
732	5759	2097
733	5765	2089
734	5772	2081
735	5781	2073
736	5791	2066
737	5800	2059
738	5807	2051
739	5815	2043
740	5823	2035
741	5829	2027
742	5836	2018
743	5850	2013
744	5856	2004
745	5863	1996
746	5870	1988
747	5880	1981
748	5887	1972
749	5893	1964
750	5900	1956
751	5909	1948
752	5916	1940
753	5926	1933
754	5933	1925
755	5951	1920
756	5958	1912
757	5965	1904
758	5974	1896
759	5980	1888
760	5987	1880
761	5994	1872
762	6004	1864
763	6010	1856
764	6017	1848
765	6024	1840
766	6030	1831
767	6045	1826
768	6052	1818
769	6059	1809
770	6069	1802
771	6076	1794
772	6083	1786
773	6091	1778
774	6100	1771
775	6107	1762
776	6113	1754
777	6122	1747
778	6133	1739
779	6141	1732
780	6149	1724
781	6160	1717
782	6168	1709
783	6174	1701
784	6181	1692
