iter	Passed	Remaining
154	403	2198
155	403	2184
156	404	2170
157	404	2157
158	405	2144
159	406	2131
160	406	2120
161	407	2107
162	407	2093
163	408	2081
164	408	2069
165	409	2057
166	410	2045
167	410	2034
168	411	2022
169	411	2011
170	412	1999
171	412	1988
172	413	1977
173	414	1968
174	415	1957
175	415	1947
176	416	1935
177	417	1926
178	425	1949
179	425	1940
180	426	1930
181	430	1936
182	431	1927
183	432	1918
184	433	1907
185	433	1899
186	434	1890
187	435	1881
188	443	1905
189	444	1896
190	445	1887
191	447	1884
192	450	1883
193	451	1875
194	452	1866
195	452	1858
196	453	1850
197	454	1841
198	455	1834
199	456	1826
200	457	1818
201	458	1810
202	459	1802
203	460	1795
204	460	1787
205	461	1779
206	462	1770
207	463	1762
208	463	1755
209	464	1748
210	465	1741
211	466	1734
212	467	1726
213	468	1719
214	469	1712
215	470	1706
216	470	1699
217	474	1700
218	476	1697
219	476	1690
220	477	1684
221	478	1678
222	479	1671
223	480	1665
224	481	1659
225	482	1652
226	483	1645
227	484	1639
228	484	1632
229	485	1625
230	486	1619
231	487	1612
232	487	1606
233	489	1601
234	489	1594
235	490	1588
236	491	1581
237	492	1575
238	492	1569
239	493	1563
240	494	1557
241	495	1550
242	496	1545
243	496	1539
244	497	1533
245	500	1534
246	502	1532
247	504	1528
248	504	1522
249	505	1517
250	507	1514
251	508	1509
252	509	1504
253	510	1500
254	512	1496
255	527	1531
256	533	1542
257	534	1536
258	535	1531
259	536	1525
260	536	1520
261	537	1514
262	538	1508
263	539	1504
264	540	1498
265	541	1493
266	541	1487
267	542	1482
268	543	1477
269	544	1471
270	545	1466
271	545	1461
272	546	1456
273	547	1451
274	548	1445
275	549	1440
276	549	1435
277	550	1430
278	551	1425
279	552	1420
280	553	1415
281	555	1413
282	556	1410
283	557	1406
284	558	1401
285	560	1399
286	562	1398
287	563	1393
288	564	1389
289	565	1384
290	566	1380
291	567	1375
292	568	1371
293	569	1368
294	570	1363
295	571	1358
296	572	1354
297	573	1350
298	574	1347
299	575	1343
300	576	1338
301	577	1335
302	578	1331
303	581	1331
304	583	1329
305	584	1325
306	585	1321
307	586	1317
308	587	1312
309	587	1308
310	588	1304
311	589	1300
312	590	1296
313	591	1292
314	592	1288
315	593	1284
316	594	1280
317	595	1276
318	596	1273
319	604	1283
320	605	1280
321	608	1280
322	609	1277
323	610	1274
324	611	1270
325	612	1266
326	613	1263
327	614	1259
328	615	1255
329	616	1251
330	616	1246
331	617	1242
332	618	1239
333	620	1237
334	621	1234
335	622	1230
336	623	1226
337	627	1229
338	631	1230
339	632	1226
340	634	1225
341	636	1223
342	638	1223
343	640	1220
344	641	1218
345	642	1214
346	643	1210
347	643	1206
348	644	1202
349	645	1198
350	645	1193
351	646	1189
352	647	1187
353	648	1184
354	649	1180
355	650	1176
356	651	1173
357	652	1169
358	653	1166
359	653	1162
360	654	1158
361	654	1154
362	655	1150
363	656	1146
364	656	1142
365	657	1138
366	657	1134
367	658	1131
368	659	1127
369	660	1124
370	661	1121
371	662	1119
372	663	1115
373	664	1111
374	664	1107
375	665	1104
376	666	1101
377	667	1097
378	667	1094
379	668	1090
380	669	1087
381	669	1083
382	670	1079
383	670	1076
384	671	1073
385	672	1070
386	673	1066
387	674	1064
388	676	1063
389	683	1068
390	683	1065
391	684	1061
392	685	1058
393	686	1055
394	687	1052
395	689	1052
396	691	1051
397	693	1048
398	693	1044
399	694	1041
400	695	1038
401	695	1035
402	696	1031
403	697	1028
404	697	1025
405	698	1021
406	699	1018
407	699	1015
408	700	1012
409	701	1008
410	702	1006
411	703	1003
412	704	1001
413	707	1001
414	707	997
415	708	994
416	709	991
417	709	988
418	710	985
419	710	981
420	711	979
421	713	977
422	714	975
423	715	972
424	716	968
425	716	965
426	717	962
427	718	959
428	718	956
429	719	953
430	720	950
431	720	947
432	721	944
433	722	941
434	722	938
435	723	935
436	723	932
437	724	929
438	725	926
439	725	923
440	726	920
441	727	917
442	727	915
443	728	912
444	729	909
445	729	906
446	730	903
447	730	900
448	731	897
449	732	895
450	733	892
451	733	889
452	734	886
453	735	884
454	735	881
455	738	880
456	739	878
457	740	875
458	740	873
459	741	870
460	741	867
461	742	865
